DISTRICT|FY04
Manchester Local SD|5959
Akron City SD|5466
Alliance City SD|10228
Ashland City SD|9754
Ashtabula Area City SD|10069
Athens City SD|10581
Barberton City SD|10006
Bay Village City SD|10418
Beachwood City SD|17368
Bedford City SD|11646
Bellaire Local SD|9302
Bellefontaine City SD|7218
Bellevue City SD|7269
Belpre City SD|6188
Berea City SD|8281
Bexley City SD|8237
Bowling Green City SD|6095
Brecksville-Broadview Height|6965
Brooklyn City SD|8953
Brunswick City SD|4779
Bryan City SD|9516
Bucyrus City SD|10202
Cambridge City SD|10227
Campbell City SD|8590
Canton City SD|9997
Celina City SD|10434
Centerville City SD|8651
Chillicothe City SD|8794
Cincinnati City SD|7393
Circleville City SD|10981
Claymont City SD|7403
Cleveland Municipal SD|6714
Cleveland Hts-Univ Hts City|7756
Columbus City SD|9875
Conneaut Area City SD|7181
Coshocton City SD|4837
Cuyahoga Falls City SD|4977
Dayton City SD|5240
Deer Park Community City SD|9939
Defiance City SD|14047
Delaware City SD|10913
Delphos City SD|8352
Dover City SD|9464
East Cleveland City SD|8043
East Liverpool City SD|7947
East Palestine City SD|10769
Eaton Community Schools City|8923
Elyria City SD|6925
Euclid City SD|6748
Fairborn City SD|7706
Fairview Park City SD|8195
Findlay City SD|6119
Fostoria City SD|7392
Franklin City SD|6436
Fremont City SD|5346
Galion City SD|4816
Gallipolis City SD|9544
Garfield Heights City SD|8618
Geneva Area City SD|9172
Girard City SD|9117
Grandview Heights City SD|9838
Winton Woods City SD|8029
Greenville City SD|7196
Hamilton City SD|11472
Heath City SD|9785
Hillsboro City SD|7355
Huron City SD|7589
Ironton City SD|6498
Jackson City SD|6732
Kent City SD|6742
Kenton City SD|6157
Kettering City SD|4796
Lakewood City SD|7137
Lancaster City SD|4629
Lebanon City SD|9155
Lima City SD|12017
Lockland City SD|12632
Logan-Hocking Local SD|9205
London City SD|7440
Lorain City SD|10367
Loveland City SD|11539
Madeira City SD|7696
Mansfield City SD|7628
Maple Heights City SD|9034
Mariemont City SD|7170
Marietta City SD|7906
Marion City SD|7912
Martins Ferry City SD|6216
Massillon City SD|7255
Maumee City SD|5216
Mayfield City SD|5045
Medina City SD|5003
Miamisburg City SD|8478
Middletown City SD|11631
Mount Healthy City SD|11156
Mount Vernon City SD|13426
Napoleon City SD|9977
Nelsonville-York City SD|9158
Newark City SD|10689
New Boston Local SD|10014
New Lexington City SD|7747
New Philadelphia City SD|7526
Niles City SD|8268
North Canton City SD|7521
North College Hill City SD|8204
North Olmsted City SD|6251
North Ridgeville City SD|5548
North Royalton City SD|5301
Norton City SD|5804
Norwalk City SD|4822
Norwood City SD|6361
Oakwood City SD|13698
Oberlin City SD|9110
Oregon City SD|10679
Orrville City SD|8802
Painsville City Local SD|7765
Parma City SD|11114
Piqua City SD|9738
Port Clinton City SD|10256
Portsmouth City SD|9278
Princeton City SD|7566
Ravenna City SD|9185
Reading Community City SD|9028
Rocky River City SD|6964
St Bernard-Elmwood Place Cit|8213
St Marys City SD|6616
Salem City SD|9414
Sandusky City SD|5820
Shaker Heights City SD|6430
Sheffield-Sheffield Lake Cit|7388
Shelby City SD|12754
Sidney City SD|12365
South Euclid-Lyndhurst City|9737
South-Western City SD|8283
Springfield City SD|11488
Steubenville City SD|15151
Stow-Munroe Falls City SD|8484
Strongsville City SD|8663
Struthers City SD|8208
Sycamore Community City SD|10439
Sylvania City SD|7533
Tallmadge City SD|7984
Tiffin City SD|6557
Toledo City SD|6084
Toronto City SD|7134
Troy City SD|5675
Upper Arlington City SD|7400
Urbana City SD|5438
Vandalia-Butler City SD|10660
Van Wert City SD|9830
Wadsworth City SD|8423
Wapakoneta City SD|13269
Warren City SD|8937
Warrensville Heights City SD|8998
Washington Court House City|11973
Wellston City SD|8551
Wellsville Local SD|8311
Westerville City SD|7074
West Carrollton City SD|6991
Westlake City SD|6007
Whitehall City SD|7768
Wickliffe City SD|8038
Willard City SD|5600
Willoughby-Eastlake City SD|4979
Wilmington City SD|5101
Wooster City SD|5806
Worthington City SD|4751
Wyoming City SD|10630
Xenia Community City SD|13249
Youngstown City SD|10964
Zanesville City SD|12095
Ada Ex Vill SD|9388
Amherst Ex Vill SD|9529
Barnesville Ex Vill SD|7764
Bluffton Ex Vill SD|9570
Bradford Ex Vill SD|10322
Bridgeport Ex Vill SD|8817
Harrison Hills City SD|7852
Caldwell Ex Vill SD|8257
Carey Ex Vill SD|6768
Carrollton Ex Vill SD|6156
Chagrin Falls Ex Vill SD|5394
Chesapeake Union Ex Vill SD|5291
Clyde-Green Springs Ex Vill|4236
Coldwater Ex Vill SD|5835
Columbiana Ex Vill SD|9387
Covington Ex Vill SD|9294
Crestline Ex Vill SD|10586
Crooksville Ex Vill SD|7934
Fairport Harbor Ex Vill SD|7928
Georgetown Ex Vill SD|8146
Gibsonburg Ex Vill SD|10746
