IRN,DISTRICT,COUNTY,FY95,FY96,FY97,FY98,FY99,FY00,FY01,FY02,FY03,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11,FY12
000442,Manchester Local SD,Adams,0,0,0,0,0,0,0,0,0,0,"9,208","10,492","10,676","11,034","11,744","12,474","12,813","11,237"
043489,Akron City SD,Summit,"5,690","5,959","6,269","6,397","6,973","7,463","8,373","8,986","9,358","10,095","10,769","10,908","10,421","12,055","13,121","13,200","14,032","13,627"
043497,Alliance City SD,Stark,"5,466","5,892","6,000","6,514","6,944","6,999","7,475","8,062","8,461","8,385","9,301","9,990","9,966","10,023","10,254","10,668","10,881","10,228"
043505,Ashland City SD,Ashland,"4,829","4,991","5,874","6,354","6,336","6,695","6,480","7,361","7,039","7,362","7,483","7,746","8,156","9,024","9,042","8,941","9,754","10,024"
043513,Ashtabula Area City SD,Ashtabula,"4,832","5,067","5,403","5,563","6,120","6,642","7,193","7,707","8,194","8,252","8,546","9,456","9,894","9,806","9,728","10,069","10,329","9,918"
043521,Athens City SD,Athens,"5,410","5,449","6,258","6,481","6,861","6,972","7,832","8,608","8,713","9,000","9,616","10,336","10,295","10,757","10,581","11,476","11,799","12,376"
043539,Barberton City SD,Summit,"6,043","6,443","6,858","7,122","7,410","7,473","8,284","8,264","8,351","8,665","8,764","8,939","9,152","10,006","10,557","11,018","11,270","10,853"
043547,Bay Village City SD,Cuyahoga,"6,642","6,460","6,875","7,298","7,581","8,625","9,016","9,622","9,659","10,247","10,109","10,181","10,418","10,645","10,868","11,164","11,556","11,504"
043554,Beachwood City SD,Cuyahoga,"13,573","12,807","13,111","12,969","13,152","14,685","16,449","17,590","17,735","18,685","17,763","17,368","18,294","20,483","20,038","19,508","19,645","19,165"
043562,Bedford City SD,Cuyahoga,"7,390","7,876","8,817","9,129","9,071","9,008","9,501","10,358","10,888","11,158","11,646","11,920","11,836","12,085","12,639","12,503","13,047","13,137"
043570,Bellaire Local SD,Belmont,"5,269","5,232","5,414","6,384","6,328","7,023","7,391","8,336","8,639","9,302","9,745","9,909","10,241","10,653","11,946","11,526","11,226","10,556"
043588,Bellefontaine City SD,Logan,"4,669","5,105","5,287","5,438","5,971","6,535","6,702","6,920","7,218","7,798","8,119","8,219","8,004","8,963","8,449","8,671","8,963","9,309"
043596,Bellevue City SD,Huron,"4,700","4,748","5,753","6,193","6,444","6,815","7,267","7,269","7,145","7,087","7,839","8,081","8,776","8,923","9,001","8,923","8,946","8,920"
043604,Belpre City SD,Washington,"4,747","4,563","4,908","5,214","5,467","5,664","6,188","6,818","7,053","7,794","7,993","8,200","8,357","8,969","9,281","9,684","10,275","9,879"
