line_00 is....
Akron City SD|13121

['Akron City SD', '13121\n']
['Alliance City SD', '10023\n']
['Ashland City SD', '8156\n']
['Ashtabula Area City SD', '9456\n']
['Athens City SD', '9616\n']
['Barberton City SD', '8665\n']
['Bay Village City SD', '9659\n']
['Beachwood City SD', '17590\n']
['Bedford City SD', '9501\n']
['Bellaire Local SD', '7023\n']
['Bellefontaine City SD', '5971\n']
['Bellevue City SD', '6193\n']
['Belpre City SD', '4908\n']
['Berea City SD', '6431\n']
['Bexley City SD', '6746\n']
['Bowling Green City SD', '14348\n']
['Brecksville-Broadview Height', '10260\n']
['Brooklyn City SD', '11871\n']
['Brunswick City SD', '9516\n']
['Bryan City SD', '8676\n']
['Bucyrus City SD', '8579\n']
['Cambridge City SD', '9010\n']
['Campbell City SD', '8844\n']
['Canton City SD', '8429\n']
['Celina City SD', '10370\n']
['Centerville City SD', '7472\n']
['Chillicothe City SD', '7655\n']
['Cincinnati City SD', '6510\n']
['Circleville City SD', '8005\n']
['Claymont City SD', '5317\n']
['Cleveland Municipal SD', '5216\n']
['Cleveland Hts-Univ Hts City', '6649\n']
['Columbus City SD', '8049\n']
['Conneaut Area City SD', '18974\n']
['Coshocton City SD', '14967\n']
['Cuyahoga Falls City SD', '9599\n']
['Dayton City SD', '8800\n']
['Deer Park Community City SD', '8999\n']
['Defiance City SD', '13531\n']
['Delaware City SD', '10053\n']
['Delphos City SD', '8370\n']
['Dover City SD', '8394\n']
['East Cleveland City SD', '6966\n']
['East Liverpool City SD', '7007\n']
['East Palestine City SD', '10391\n']
['Eaton Community Schools City', '7278\n']
['Elyria City SD', '5243\n']
['Euclid City SD', '5555\n']
['Fairborn City SD', '5915\n']
['Fairview Park City SD', '7294\n']
['Findlay City SD', '4571\n']
['Fostoria City SD', '9887\n']
['Franklin City SD', '11471\n']
['Fremont City SD', '10091\n']
['Galion City SD', '11191\n']
['Gallipolis City SD', '9249\n']
['Garfield Heights City SD', '8707\n']
['Geneva Area City SD', '8265\n']
['Girard City SD', '8437\n']
['Grandview Heights City SD', '8804\n']
['Winton Woods City SD', '6765\n']
['Greenville City SD', '7295\n']
['Hamilton City SD', '9505\n']
['Heath City SD', '7480\n']
['Hillsboro City SD', '5684\n']
['Huron City SD', '5632\n']
['Ironton City SD', '5965\n']
['Jackson City SD', '4621\n']
['Kent City SD', '5740\n']
['Kenton City SD', '10734\n']
['Kettering City SD', '9147\n']
['Lakewood City SD', '8989\n']
['Lancaster City SD', '11836\n']
['Lebanon City SD', '9023\n']
['Lima City SD', '10998\n']
['Lockland City SD', '11146\n']
['Logan-Hocking Local SD', '8972\n']
