DISTRICT|FY95|FY96|FY97|FY98|FY99|FY00|FY01|FY02|FY03|FY04|FY05|FY06|FY07|FY08|FY09|FY10|FY11|FY12|
Manchester Local SD|9208|10492|10676|11034|11744|12474|12813|11237|5690|5959|6269|6397|6973|7463|8373|8986|9358|10095|
Akron City SD|10095|10769|10908|10421|12055|13121|13200|14032|13627|5466|5892|6000|6514|6944|6999|7475|8062|8461|
Alliance City SD|8461|8385|9301|9990|9966|10023|10254|10668|10881|10228|4829|4991|5874|6354|6336|6695|6480|7361|
Ashland City SD|7361|7039|7362|7483|7746|8156|9024|9042|8941|9754|10024|4832|5067|5403|5563|6120|6642|7193|
Ashtabula Area City SD|7193|7707|8194|8252|8546|9456|9894|9806|9728|10069|10329|9918|5410|5449|6258|6481|6861|6972|
Athens City SD|6972|7832|8608|8713|9000|9616|10336|10295|10757|10581|11476|11799|12376|6043|6443|6858|7122|7410|
Barberton City SD|7410|7473|8284|8264|8351|8665|8764|8939|9152|10006|10557|11018|11270|10853|6642|6460|6875|7298|
Bay Village City SD|7298|7581|8625|9016|9622|9659|10247|10109|10181|10418|10645|10868|11164|11556|11504|13573|12807|13111|
Beachwood City SD|13111|12969|13152|14685|16449|17590|17735|18685|17763|17368|18294|20483|20038|19508|19645|19165|7390|7876|
Bedford City SD|7876|8817|9129|9071|9008|9501|10358|10888|11158|11646|11920|11836|12085|12639|12503|13047|13137|5269|
Bellaire Local SD|5269|5232|5414|6384|6328|7023|7391|8336|8639|9302|9745|9909|10241|10653|11946|11526|11226|10556|
Bellefontaine City SD|10556|4669|5105|5287|5438|5971|6535|6702|6920|7218|7798|8119|8219|8004|8963|8449|8671|8963|
Bellevue City SD|8963|9309|4700|4748|5753|6193|6444|6815|7267|7269|7145|7087|7839|8081|8776|8923|9001|8923|
Belpre City SD|8923|8946|8920|4747|4563|4908|5214|5467|5664|6188|6818|7053|7794|7993|8200|8357|8969|9281|
Berea City SD|9281|9684|10275|9879|6533|6431|6459|8005|8150|8281|8819|9514|9528|9443|10185|9963|10277|11454|
Bexley City SD|11454|11760|12029|12786|12057|6746|6975|7370|7886|8237|8708|9145|10177|10868|11096|11538|12249|13236|
Bowling Green City SD|13236|13820|14539|14785|14335|14348|5039|5097|5352|6095|6439|7380|7658|8262|8294|8662|9346|10180|
Brecksville-Broadview Height|10180|10237|10691|10563|10338|10260|10319|6712|7087|6965|6822|7521|8086|8115|8425|8790|9199|9122|
Brooklyn City SD|9122|9862|10359|11426|11545|11871|11665|11636|7212|8953|9498|9127|9533|8462|8304|9207|8938|9390|
Brunswick City SD|9390|9850|10763|10525|10233|9516|9769|10177|10295|4779|5179|5216|5624|5865|6714|7235|7633|7682|
Bryan City SD|7682|8059|8130|8047|8590|8676|8943|9096|9659|9516|5133|5147|5501|5897|6272|6769|6937|6985|
Bucyrus City SD|6985|6998|7872|8237|8688|8579|8920|9544|10094|10202|10029|5279|5582|5847|6072|6852|7130|7525|
Cambridge City SD|7525|7912|8110|8482|8324|9010|9113|9183|9660|10227|10780|11007|4730|4943|5277|5658|5912|6672|
Campbell City SD|6672|6982|7351|7751|8242|8844|8714|8249|8369|8590|9198|9611|9482|5485|5332|5900|5989|6092|
Canton City SD|6092|6311|6852|7474|7929|8429|8781|8697|9792|9997|10068|10940|10928|10553|5899|6112|6480|6787|
Celina City SD|6787|7936|8339|9338|9964|10370|9866|10777|10248|10434|10650|10917|11660|11307|10647|4368|4636|5182|
Centerville City SD|5182|5875|6310|6409|6890|7472|7911|8446|8768|8651|9287|9497|10350|11024|11087|11093|5630|5545|
Chillicothe City SD|5545|5541|6513|6917|7270|7655|8088|8165|8515|8794|9025|9432|10677|10799|10410|11086|11527|5549|
Cincinnati City SD|5549|5677|5753|6108|6099|6510|6560|7200|7363|7393|7697|8238|8660|9084|9257|9994|9860|9973|
Circleville City SD|9973|6990|6593|6789|7497|8005|8160|9181|9983|10981|12667|12734|11972|12550|12317|13013|13449|14067|
Claymont City SD|14067|14721|4533|4837|5242|5317|5510|6051|6663|7403|7838|8153|7943|7381|8735|9432|10234|10843|
Cleveland Municipal SD|10843|10896|10778|4312|4645|5216|5306|5400|6238|6714|6604|6721|7112|7649|8024|8164|8811|8964|
Cleveland Hts-Univ Hts City|8964|9222|9183|9379|6226|6649|7649|6912|7698|7756|9398|10339|10871|11114|10728|11451|12213|13355|
Columbus City SD|13355|14309|14573|15072|14551|8049|8533|8614|9509|9875|10680|11100|11991|13075|14442|14754|15488|15805|
Conneaut Area City SD|15805|16195|16037|17394|18460|18974|6331|6819|6668|7181|7421|8408|9078|9921|10356|10758|11145|11918|
Coshocton City SD|11918|12653|13969|13674|14904|14967|14613|4756|4701|4837|5244|5732|6076|6221|6780|7171|8455|9064|
Cuyahoga Falls City SD|9064|9005|8331|8686|9080|9599|9417|9739|4893|4977|5114|5483|5949|6254|6501|6872|7511|7932|
Dayton City SD|7932|8534|9143|9165|8944|8800|9313|9912|10093|5240|5257|5666|5977|6194|6896|6915|7181|7902|
Deer Park Community City SD|7902|8454|8753|8212|8623|8999|9182|9923|9741|9939|6911|7242|7807|8088|9199|9217|9564|9854|
Defiance City SD|9854|11392|11669|12732|13644|13531|12705|13425|14256|14047|14374|5081|5428|5904|6253|6853|7133|7554|
Delaware City SD|7554|8221|8576|8892|9562|10053|10541|10994|11053|10913|11357|10937|4676|4925|4922|5520|5910|6369|
Delphos City SD|6369|6967|7165|7393|7704|8370|8603|8979|8904|8352|8550|8784|8845|5463|5460|5529|6085|6370|
Dover City SD|6370|7108|7885|8363|8276|8394|9186|9390|9536|9464|10235|9822|10008|9681|4709|4524|4737|4902|
East Cleveland City SD|4902|5317|5881|6098|6837|6966|7211|7869|7913|8043|8388|8005|8061|7963|7673|4546|4507|4887|
East Liverpool City SD|4887|5188|5771|5970|6569|7007|7265|7365|7809|7947|8331|8329|8429|8479|8525|8557|7125|7022|
East Palestine City SD|7022|7486|7948|9469|9285|10391|10400|10855|10680|10769|11479|12757|13835|14215|14423|16842|17368|5933|
Eaton Community Schools City|5933|5877|6180|6429|6582|7278|7690|8311|8547|8923|9417|8984|9318|9829|10680|10806|11268|11533|
Elyria City SD|11533|4229|4388|4373|4959|5243|5626|5854|6398|6925|6850|7162|7449|7365|7963|8004|7818|7941|
Euclid City SD|7941|7963|4163|4744|4968|5555|5597|5883|6310|6748|6847|7383|7865|7626|7666|8145|8511|8659|
Fairborn City SD|8659|8978|8725|5617|6074|5915|6222|6390|7789|7706|8103|8771|9136|9775|9527|9872|9983|9886|
