District|% Voter Increase|% Budget increase|12th Grade Dist Enrollment 2004-5
"MIDDLETOWN CITY SD"|1.148861646234676|1.117720545838939|367
"MAYFIELD CITY SD"|1.0178817056396148|0.6253873806867485|476
"NORTH ROYALTON CITY SD"|1.1316129032258064|0.6136126866535478|331
"LAKEWOOD CITY SD"|1.1643031784841076|0.7939704082767828|512
"URBANA CITY SD"|1.132686084142395|0.4021594438692501|123
"BEREA CITY SD"|1.07974335472044|1.2876691027833929|537
"WARRENSVILLE HEIGHTS CITY SD"|1.477900552486188|1.1963834596463236|200
"PARMA CITY SD"|1.1459651898734178|1.2199780461031833|496
"ATHENS CITY SD"|2.1793002915451893|1.1003535773710482|222
"GREENVILLE CITY SD"|1.17312661498708|0.9864290610006854|250
"LIMA CITY SD"|1.2608089260808926|1.0926532096744863|301
"OLMSTED FALLS CITY SD"|0.9617834394904459|1.2467151027979595|276
"SANDUSKY CITY SD"|0.948905109489051|0.381139489194499|309
"SHAKER HEIGHTS CITY SD"|1.0248587570621468|0.6415885052883656|416
"ASHTABULA AREA CITY SD"|1.1686046511627908|1.064826565143824|302
"FAIRFIELD CITY SD"|1.0707792207792208|1.1221966298945327|693
"WESTLAKE CITY SD"|1.1015873015873017|1.2249184339314845|284
"EUCLID CITY SD"|1.2135135135135136|1.2147614761476149|475
"MARTINS FERRY CITY SD"|1.0884955752212389|1.091867205339891|136
"GALION CITY SD"|1.0905511811023623|0.43034581360021446|146
"WAPAKONETA CITY SD"|0.9925925925925926|1.2513202565069785|288
"DELAWARE CITY SD"|0.9367924528301886|1.0855466030040783|312
"ROCKY RIVER CITY SD"|1.0270793036750483|1.3776458951533135|201
"EAST PALESTINE CITY SD"|0.9006622516556292|1.0363776344913869|115
"MAPLE HEIGHTS CITY SD"|1.1880199667221298|1.210505158783331|217
"COSHOCTON CITY SD"|1.3088235294117647|0.3231776575131957|152
"SPRINGFIELD CITY SD"|1.1896144767899293|1.210409861974502|535
"EAST LIVERPOOL CITY SD"|1.050561797752809|1.1341515627229912|253
"CONNEAUT AREA CITY SD"|1.1538461538461537|0.37846526826183197|166
"TALAWANDA CITY SD"|1.9415481832543444|1.3403699673558216|268
"BROOKLYN CITY SD"|1.3004484304932735|0.754190885350855|78
"SOLON CITY SD"|1.329608938547486|1.1761061946902656|406
"NORTH OLMSTED CITY SD"|0.9796178343949045|1.2848920863309352|351
"WILMINGTON CITY SD"|1.0771028037383177|0.4533819216069683|220
"FAIRVIEW PARK CITY SD"|1.0186480186480187|1.1235261859062242|195
"BUCYRUS CITY SD"|1.3020833333333333|1.1891828884485371|130
"WESTERVILLE CITY SD"|0.869757174392936|1.2937088514996342|80
"DUBLIN CITY SD"|0.8275862068965517|1.1026180458158017|1
"STRONGSVILLE CITY SD"|1.0345622119815667|1.1567632527707303|594
"GARFIELD HEIGHTS CITY SD"|1.109452736318408|0.9897783392672562|239
"HAMILTON CITY SD"|1.036231884057971|1.2069437138348238|581
"DEFIANCE CITY SD"|0.9924433249370277|1.0381346537580372|197
"EAST CLEVELAND CITY SD"|1.215953307392996|1.1546080964685617|353
"SALEM CITY SD"|1.0759493670886076|0.816762103071317|183
"EDGEWOOD CITY SD"|0.9|1.2740941582450087|260
"BAY VILLAGE CITY SD"|0.8477011494252874|1.0785795631017703|204
"ST MARYS CITY SD"|1.2076923076923076|1.2195391705069125|242
"BEACHWOOD CITY SD"|1.06|0.9873791927231381|211
"ORANGE CITY SD"|1.0492424242424243|0.7108031062616731|190
"HURON CITY SD"|1.0|1.3474786931818181|134
"NELSONVILLE-YORK CITY SD"|1.4557823129251701|1.1845815547794594|82
"BEDFORD CITY SD"|1.282780410742496|1.2257657088727503|260
"DELPHOS CITY SD"|1.1777777777777778|0.9978494623655914|79
"PRINCETON CITY SD"|1.1268582755203171|1.280203045685279|469
"MASON CITY SD"|1.1123737373737375|1.2154775863624063|482
"BELLEVUE CITY SD"|1.276|1.1737445502987243|188
"ALLIANCE CITY SD"|1.237037037037037|1.0204529581961488|224
"MOUNT VERNON CITY SD"|1.3661971830985915|1.149486301369863|310
"BEAVERCREEK CITY SD"|0.9971631205673759|0.6766535351441012|566
"WILLOUGHBY-EASTLAKE CITY SD"|1.1389445557782232|0.825567899187531|730
"LANCASTER CITY SD"|1.1127895266868078|0.3910949645150389|405
"TORONTO CITY SD"|1.1416666666666666|0.7422744771615857|74
"GALLIPOLIS CITY SD"|1.0289389067524115|1.0318953400367608|155
"SYCAMORE COMMUNITY CITY SD"|1.0278450363196125|1.1683268047006155|475
"HILLSBORO CITY SD"|1.3385093167701863|1.2939831104855735|194
"LOVELAND CITY SD"|1.0084745762711864|0.8962330097087379|279
"WINTON WOODS CITY SD"|1.0930888575458393|1.1868440502586843|243
"MADEIRA CITY SD"|0.876984126984127|1.2794679966749791|120
"WELLSTON CITY SD"|1.03125|1.2971783980582525|130
"JACKSON CITY SD"|1.2451612903225806|1.4568275265094135|207
"FINDLAY CITY SD"|1.1758454106280194|1.3386567490702252|528
"NORTH COLLEGE HILL CITY SD"|1.1491525423728814|1.280274656679151|87
"DEER PARK COMMUNITY CITY SD"|0.9898477157360406|1.104456050672297|113
"WYOMING CITY SD"|0.8392857142857143|1.0915999178476072|160
"STEUBENVILLE CITY SD"|1.518413597733711|1.1723150727329|192
"WICKLIFFE CITY SD"|1.1285714285714286|1.0588855223290738|122
"NORWALK CITY SD"|1.0981912144702843|0.5218614718614719|178
"CAMBRIDGE CITY SD"|1.1423728813559322|1.135072142064373|177
"MARIEMONT CITY SD"|0.7335766423357665|1.318014705882353|129
"WILLARD CITY SD"|1.2439024390243902|1.2345679012345678|151
"IRONTON CITY SD"|0.9821428571428571|1.0893545683151717|122
